country,score
New Zealand,9.55
Denmark,9.32
Singapore,9.26
Finland,9.12
Canada,8.87
Sweden,8.87
Australia,8.8
Switzerland,8.76
Netherlands,8.69
Norway,8.61
Ireland,8.57
United Kingdom,8.57
Germany,8.14
Chile,7.94
United States of America,7.79
Austria,7.13
Hong Kong,7.12
France,7
Belgium,6.85
Japan,6.72
South Africa,5.62
Portugal,5.56
Malaysia,5.28
Argentina,5.24
Taiwan,5.08
Spain,4.35
"Korea, South",4.29
Hungary,4.12
Turkey,4.1
Greece,4.04
Colombia,3.44
Mexico,3.18
Italy,2.99
Thailand,2.79
India,2.78
Philippines,2.77
Brazil,2.7
Venezuela,2.66
Pakistan,2.25
China,2.16
Indonesia,1.94
